Test_ID,dataset,sensor,original_value,imputed_value,imputation_flag,model,validation_R2
TRN-0872,training,Sensor_S1,,15.4866,1,Ridge(alpha=1.0),0.8459
TRN-0793,training,Sensor_S1,,19.6053,1,Ridge(alpha=1.0),0.8459
TRN-0802,training,Sensor_S1,,17.3875,1,Ridge(alpha=1.0),0.8459
TRN-0410,training,Sensor_S1,,12.8658,1,Ridge(alpha=1.0),0.8459
TRN-0808,training,Sensor_S1,,8.241,1,Ridge(alpha=1.0),0.8459
TRN-0918,training,Sensor_S1,,13.627,1,Ridge(alpha=1.0),0.8459
TST-0120,test,Sensor_S1,,8.7276,1,Ridge(alpha=1.0),0.8459
TRN-0718,training,Sensor_S2,,14.547,1,Ridge(alpha=1.0),0.806
TRN-0768,training,Sensor_S2,,18.7595,1,Ridge(alpha=1.0),0.806
TST-0332,test,Sensor_S2,,18.4454,1,Ridge(alpha=1.0),0.806
TST-0156,test,Sensor_S2,,8.9779,1,Ridge(alpha=1.0),0.806
TST-0172,test,Sensor_S2,,16.6943,1,Ridge(alpha=1.0),0.806
TRN-0533,training,Sensor_S3,,15.8029,1,Ridge(alpha=1.0),0.9031
TRN-0120,training,Sensor_S3,,24.1877,1,Ridge(alpha=1.0),0.9031
TRN-0944,training,Sensor_S3,,11.4398,1,Ridge(alpha=1.0),0.9031
TRN-0797,training,Sensor_S3,,16.6715,1,Ridge(alpha=1.0),0.9031
TRN-0631,training,Sensor_S3,,14.4899,1,Ridge(alpha=1.0),0.9031
TRN-0009,training,Sensor_S3,,23.736,1,Ridge(alpha=1.0),0.9031
TRN-0690,training,Sensor_S3,,18.4876,1,Ridge(alpha=1.0),0.9031
TST-0167,test,Sensor_S3,,24.8091,1,Ridge(alpha=1.0),0.9031
TST-0326,test,Sensor_S3,,23.7054,1,Ridge(alpha=1.0),0.9031
