Test_ID,regime_id,Validity_Label,Reference_Parameter
TRN-0889,1,Valid,34.8501
TRN-0820,2,Valid,30.4762
TRN-0411,1,Valid,46.8046
TRN-0754,1,Valid,23.7153
TRN-0707,1,Valid,48.5994
TRN-0140,2,Valid,22.9154
TRN-0881,1,Valid,24.2957
TRN-0381,0,Valid,20.8262
TRN-0095,1,Valid,51.1599
TRN-0135,0,Invalid,18.4965
TRN-0633,0,Valid,18.9191
TRN-0138,3,Valid,17.5449
TRN-0591,2,Valid,31.5651
TRN-0262,0,Valid,22.15
TRN-0729,0,Valid,22.7879
TRN-0307,1,Valid,47.2164
TRN-0091,3,Valid,23.2446
TRN-0542,0,Valid,29.9678
TRN-0937,2,Valid,45.3832
TRN-0092,0,Valid,17.4823
TRN-0268,0,Valid,20.7222
TRN-0782,1,Valid,36.8118
TRN-0919,0,Valid,21.2594
TRN-0053,1,Valid,48.1264
TRN-0408,0,Valid,22.1385
TRN-0501,2,Valid,30.3824
TRN-0311,1,Valid,29.9962
TRN-0562,0,Valid,23.8068
TRN-0126,0,Valid,20.623
TRN-0676,2,Valid,45.2288
TRN-0360,1,Valid,28.4009
TRN-0367,1,Valid,45.131
TRN-0405,0,Valid,20.1763
TRN-0868,1,Valid,55.1412
TRN-0020,3,Valid,13.5381
TRN-0316,0,Valid,19.7399
TRN-0067,0,Valid,19.7801
TRN-0317,1,Valid,24.0015
TRN-0087,3,Invalid,20.3176
TRN-0801,1,Valid,39.321
TRN-0012,0,Valid,21.3846
TRN-0578,0,Valid,23.1545
TRN-0859,3,Valid,15.4105
TRN-0533,2,Invalid,23.5153
TRN-0967,0,Valid,19.7664
TRN-0788,2,Valid,18.6948
TRN-0700,0,Valid,20.5104
TRN-0151,0,Valid,18.466
TRN-0236,0,Valid,18.4935
TRN-0130,0,Valid,19.0968
TRN-0558,3,Valid,15.0884
TRN-0335,2,Valid,53.154
TRN-0747,3,Valid,11.9183
TRN-0065,1,Valid,37.4703
TRN-0257,0,Valid,21.5145
TRN-0443,2,Valid,32.9683
