Test_ID,Reference_Parameter,predicted_Reference_Parameter,regression_residual,regression_abs_residual,Validity_Label,regime_id,Sensor_S1_imputed,Sensor_S2_imputed,Sensor_S3_imputed,Sensor_S4_missing,S3_consistency_residual
TRN-0745,18.6752,49.859025268078085,-31.183825268078085,31.183825268078085,Invalid,1,0,0,0,0,-0.0466372541691129
TRN-0185,46.1158,18.096965575612337,28.018834424387663,28.018834424387663,Invalid,2,0,0,0,0,0.8935790634715755
TRN-0623,50.0012,24.865529175956997,25.135670824043,25.135670824043,Invalid,0,0,0,0,0,0.0873705010318488
TRN-0081,22.2325,42.980509780608976,-20.748009780608974,20.748009780608974,Invalid,2,0,0,0,0,0.2721205195470872
TRN-0945,47.492,28.09121690601943,19.400783093980568,19.400783093980568,Invalid,2,0,0,0,0,0.0879366959466168
TRN-0290,23.8671,37.11276896152179,-13.245668961521787,13.245668961521787,Invalid,0,0,0,0,0,0.1313398391270652
TRN-0043,28.2093,41.43432586934284,-13.225025869342844,13.225025869342844,Invalid,0,0,0,0,0,0.1603823391509138
TRN-0357,17.6333,27.685528879488892,-10.052228879488894,10.052228879488894,Invalid,0,0,0,0,0,0.8664002868951037
TRN-0434,51.9073,43.05811278987792,8.849187210122082,8.849187210122082,Valid,2,0,0,0,1,-0.0155523325250115
TRN-0267,36.3126,27.504985411235964,8.80761458876404,8.80761458876404,Invalid,0,0,0,0,0,0.1337253173335462
TRN-0927,22.272,29.94769653164704,-7.675696531647041,7.675696531647041,Invalid,0,0,0,0,0,-0.0685181765969424
TRN-0955,49.6297,42.28467441466615,7.34502558533385,7.34502558533385,Valid,1,0,0,0,0,0.401704944465358
TRN-0533,23.5153,30.795263269635335,-7.279963269635335,7.279963269635335,Invalid,2,0,0,1,0,0.9347314263432428
TRN-0908,61.5848,54.59904341850298,6.9857565814970215,6.9857565814970215,Valid,1,0,0,0,0,0.3320901272968868
TRN-0836,32.8614,26.196924580536177,6.664475419463827,6.664475419463827,Valid,2,0,0,0,0,0.0581692682667593
