Test_ID,total_attention_score,negative_sensor_flag_contrib,sentinel_flag_contrib,s3_s1_inconsistency_flag_contrib,z_score_magnitude_contrib,imputation_count_contrib,missing_count_contrib,model_uncertainty_contrib,centroid_distance_contrib,P_invalid,validity_decision,validity_margin,threshold_margin,regression_prediction,operating_space_support,cv_model_disagreement,cv_regression_model_disagreement,imputation_count,missing_count,CP5_residual,CP5_z_score
TRN-0889,1.4267774855902569,0.0,0.0,0.0,0.2590583471143497,0.0,0.0,0.0,1.1677191384759071,0.0,Valid,0.5,0.236,35.43622573827584,0.41614043076204643,0.003313804102786033,0.43162733897907213,0.0,0.0,0.434047781457533,0.2590583471143497
TRN-0820,1.311142741089767,0.0,0.0,0.0,0.2234565020912836,0.0,0.0,0.0,1.0876862389984834,0.0,Valid,0.5,0.236,31.393775092892493,0.45615688050075825,0.0016959549953503314,0.4144281242742091,0.0,0.0,0.3744635191799013,0.2234565020912836
TRN-0411,2.422710114534424,0.0,0.0,0.0,0.1306662295704408,0.0,0.0,0.8799999999999999,1.4120438849639831,0.22,Valid,0.28,0.015999999999999986,46.57062765705268,0.29397805751800843,0.01152525820974876,0.3540207403462348,0.0,0.0,0.2191670751019963,0.1306662295704408
TRN-0754,1.3756453582278743,0.0,0.0,0.0,0.0901584318131979,0.0,0.0,0.15999999999999992,1.1254869264146765,0.04,Valid,0.46,0.19599999999999998,24.88097833957459,0.4372565367926617,0.002344953745533599,0.3703832503842338,0.0,0.0,-0.1504113704175331,-0.0901584318131979
TRN-0707,1.6705198501825023,0.0,0.0,0.0,0.2402867534535105,0.0,0.0,0.1200000000000001,1.3102330967289917,0.03,Valid,0.47,0.206,48.289218399914894,0.34488345163550416,0.0013398386046519271,0.25192225236556415,0.0,0.0,-0.4016704073051294,-0.2402867534535105
TRN-0140,2.6198851646322208,0.0,0.0,0.0,0.0547316022881487,0.0,1.0,0.15999999999999992,1.4051535623440718,0.04,Valid,0.46,0.19599999999999998,21.26944714187549,0.2974232188279641,0.007802165277440596,0.3402887332056515,0.0,1.0,0.0920807191838992,0.0547316022881487
TRN-0881,1.3583802670148515,0.0,0.0,0.0,0.3228567904642472,0.0,0.0,0.0,1.0355234765506043,0.0,Valid,0.5,0.236,24.60179867000107,0.48223826172469786,0.0021565351150934476,0.24288561714891627,0.0,0.0,0.5408226741352031,0.3228567904642472
TRN-0381,1.3970421631488936,0.0,0.0,0.0,0.1480461984519119,0.0,0.0,0.0,1.2489959646969817,0.0,Valid,0.5,0.236,20.81662194340313,0.37550201765150915,0.0011726271556509234,0.13343980927611984,0.0,0.0,0.2482546862507924,0.1480461984519119
TRN-0095,1.7407316721286827,0.0,0.0,0.0,0.2911344370061339,0.0,0.0,0.0,1.4495972351225488,0.0,Valid,0.5,0.236,50.07134937081547,0.27520138243872566,0.002268550508635861,0.27639670520924564,0.0,0.0,-0.4867705393642012,-0.2911344370061339
TRN-0135,1.460814751152233,0.0,0.0,0.0,0.0976319475552009,0.0,0.0,0.08000000000000007,1.283182803597032,0.98,Invalid,0.48,0.744,17.8499402495523,0.35840859820148396,0.007410256228509545,0.14145154643183463,0.0,0.0,-0.162919259315398,-0.0976319475552009
TRN-0633,1.5585732371175696,0.0,0.0,0.0,0.1067020310785378,0.0,0.0,0.0,1.4518712060390317,0.0,Valid,0.5,0.236,18.74697797576327,0.27406439698048407,0.003950666598259417,0.18416070081452737,0.0,0.0,-0.178099209545067,-0.1067020310785378
TRN-0138,1.19353344844905,0.0,0.0,0.0,0.1715923701329404,0.0,0.0,0.040000000000000036,0.9819410783161096,0.01,Valid,0.49,0.22599999999999998,17.950305454607125,0.5090294608419452,0.0013800561188453875,0.2290701731442661,0.0,0.0,0.2876622301061058,0.1715923701329404
TRN-0591,1.6502455251760781,0.0,0.0,0.0,0.0789536507867997,0.0,0.0,0.15999999999999992,1.4112918743892786,0.04,Valid,0.46,0.19599999999999998,31.524727978521348,0.29435406280536064,0.007657271343401491,0.2870835383739272,0.0,0.0,0.1326194297397727,0.0789536507867997
TRN-0262,1.6658160417687935,0.0,0.0,0.0,0.2916383857945122,0.0,0.0,0.0,1.3741776559742813,0.0,Valid,0.5,0.236,21.56738328614979,0.31291117201285934,0.0030713959022689225,0.061308328990473705,0.0,0.0,0.4885746625356475,0.2916383857945122
TRN-0729,1.9244960469520649,0.0,0.0,0.0,0.4668308336678914,0.0,0.0,0.08000000000000007,1.3776652132841734,0.02,Valid,0.48,0.216,22.06145480584445,0.3111673933579134,0.017913240714196393,0.13255071759932013,0.0,0.0,0.7817817352697887,0.4668308336678914
TRN-0307,1.5656323852622442,0.0,0.0,0.0,0.1186309700062669,0.0,0.0,0.0,1.4470014152559774,0.0,Valid,0.5,0.236,48.32692180333822,0.2764992923720113,0.004290778365082394,0.2945488327506905,0.0,0.0,-0.1980638216403996,-0.1186309700062669
