case_label,Test_ID,P_invalid,validity_decision,regression_prediction,cv_model_disagreement,cv_regression_model_disagreement,operating_space_support,CP5_residual,missing_count,imputation_count,total_attention_score
Case 1: Highest Attention Score,TST-0258,0.99,Invalid,46.0752,0.0049,1.3992,0.3482,-22.6517,0,0,13.3435
Case 2: Lowest Attention Score,TST-0111,0.01,Valid,26.287,0.0021,0.2226,0.6509,0.2901,0,0,0.9116
Case 3: Highest P_invalid,TST-0264,1.0,Invalid,18.1661,0.0134,0.3248,0.5334,0.304,0,0,1.1148
Case 4: Lowest P_invalid,TST-0006,0.0,Valid,18.8341,0.0027,0.1943,0.3955,-0.0331,0,0,1.2288
Case 5: Largest Validity CV Disagreement,TST-0121,0.22,Valid,15.8496,0.1277,0.2398,0.3099,0.8679,0,0,2.7789
Case 6: Largest Regression CV Disagreement,TST-0013,0.27,Invalid,44.7073,0.0375,6.7815,0.2612,-0.2029,0,0,2.6788
Case 7: Lowest Operating Space Support,TST-0047,0.05,Valid,59.3766,0.0025,1.2721,0.2199,-0.3771,0,0,1.9855
Case 8: Highest CP5 Residual,TST-0258,0.99,Invalid,46.0752,0.0049,1.3992,0.3482,-22.6517,0,0,13.3435
Case 9: Missing S4 Sensor,TST-0234,0.01,Valid,17.9166,0.0036,0.1117,0.3419,-0.0469,1,0,2.3842
Case 10: Imputed S1-S3 Sensor,TST-0332,0.98,Invalid,28.0414,0.0404,0.2269,0.3584,0.4213,1,1,3.6149
