Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,Sensor_S1_imputed,Sensor_S2_imputed,Sensor_S3_imputed,Sensor_S4_imputed,S3_observed_or_imputed,fold,S3_actual,S3_expected,S3_consistency_residual,S3_abs_residual,S3_consistency_z,regime_id
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,Valid,0,0,0,0,0,1,16.5062,16.072152218542467,0.434047781457533,0.434047781457533,0.2590583471143497,0
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,Valid,0,0,0,0,0,4,19.3289,18.9544364808201,0.3744635191799013,0.3744635191799013,0.22345650209128365,2
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,Valid,0,0,0,0,0,1,18.3834,18.164232924898005,0.2191670751019963,0.2191670751019963,0.13066622957044088,0
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,Valid,0,0,0,0,0,1,18.6269,18.777311370417532,-0.15041137041753316,0.15041137041753316,-0.09015843181319799,0
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,Valid,0,0,0,0,0,4,14.6132,15.01487040730513,-0.4016704073051294,0.4016704073051294,-0.24028675345351058,0
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,22.9154,Valid,0,0,0,1,0,1,13.764,13.6719192808161,0.09208071918389926,0.09208071918389926,0.054731602288148724,1
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,Valid,0,0,0,0,0,1,18.4782,17.937377325864798,0.5408226741352031,0.5408226741352031,0.32285679046424726,0
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,Valid,0,0,0,0,0,1,20.6009,20.352645313749207,0.2482546862507924,0.2482546862507924,0.14804619845191191,2
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,Valid,0,0,0,0,0,3,22.7145,23.201270539364202,-0.4867705393642012,0.4867705393642012,-0.29113443700613395,1
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,Invalid,0,0,0,0,0,1,17.5003,17.663219259315397,-0.16291925931539808,0.16291925931539808,-0.09763194755520098,0
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,18.9191,Valid,0,0,0,0,0,0,20.1433,20.321399209545067,-0.17809920954506708,0.17809920954506708,-0.10670203107853789,0
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,17.5449,Valid,0,0,0,0,0,2,14.8118,14.524137769893894,0.2876622301061058,0.2876622301061058,0.17159237013294043,1
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,31.5651,Valid,0,0,0,0,0,2,12.4997,12.367080570260228,0.1326194297397727,0.1326194297397727,0.07895365078679975,2
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,22.15,Valid,0,0,0,0,0,4,22.609,22.120425337464354,0.4885746625356475,0.4885746625356475,0.2916383857945122,1
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,22.7879,Valid,0,0,0,0,0,4,22.741,21.95921826473021,0.7817817352697887,0.7817817352697887,0.4668308336678914,1
TRN-0307,30.2039,105.7357,25.4332,14.8461,20.5299,20.3649,25.1377,39.4088,47.2164,Valid,0,0,0,0,0,2,25.1377,25.3357638216404,-0.1980638216403996,0.1980638216403996,-0.11863097000626692,0
TRN-0091,13.8779,70.3753,33.7208,28.7584,10.7783,12.0405,12.8023,60.3125,23.2446,Valid,0,0,0,0,0,3,12.8023,13.175293298791058,-0.3729932987910569,0.3729932987910569,-0.2231520616070206,0
TRN-0542,29.8252,29.6371,52.0927,40.8807,16.4051,14.7736,21.9869,50.5573,29.9678,Valid,0,0,0,0,0,3,21.9869,21.66953854626385,0.3173614537361473,0.3173614537361473,0.1893377800207969,1
TRN-0937,18.9717,104.0403,31.8576,48.305,15.2581,16.7679,18.2016,48.5457,45.3832,Valid,0,0,0,0,0,2,18.2016,18.56657170097547,-0.36497170097547027,0.36497170097547027,-0.21835912348290307,2
TRN-0092,22.8334,18.3011,31.7408,26.9067,12.3229,10.8597,16.5175,28.9254,17.4823,Valid,0,0,0,0,0,2,16.5175,16.316956651546818,0.20054334845318067,0.20054334845318067,0.11953847528502803,1
TRN-0268,31.5596,18.2128,38.845,24.4453,16.4547,13.878,22.1,70.4553,20.7222,Valid,0,0,0,0,0,4,22.1,21.880333213554753,0.21966678644524862,0.21966678644524862,0.1309648091805373,1
TRN-0782,16.2048,93.1196,42.8621,12.8741,13.1151,14.8764,15.7166,32.2974,36.8118,Valid,0,0,0,0,0,4,15.7166,15.77315804989282,-0.05655804989281954,0.05655804989281954,-0.03408068167420933,0
TRN-0919,22.6926,50.8001,43.6073,31.9818,14.0837,13.6443,18.1982,49.2786,21.2594,Valid,0,0,0,0,0,2,18.1982,17.99488858740046,0.20331141259953966,0.20331141259953966,0.12119240514814181,1
TRN-0053,26.4931,101.8024,42.852,30.4912,18.56,19.2644,22.9828,68.2684,48.1264,Valid,0,0,0,0,0,0,22.9828,23.098169347718386,-0.11536934771838503,0.11536934771838503,-0.06922067721590433,0
TRN-0408,31.1979,55.0224,21.7758,25.6304,18.3841,16.3698,23.7608,30.0802,22.1385,Valid,0,0,0,0,0,2,23.7608,23.51397220541471,0.2468277945852897,0.2468277945852897,0.14719362473532832,0
TRN-0501,14.229,84.784,39.199,37.0993,11.9475,13.5096,14.4506,42.1564,30.3824,Valid,0,0,0,0,0,0,14.4506,14.316399931923826,0.1342000680761739,0.1342000680761739,0.07989808877997094,1
TRN-0311,20.0873,84.2981,33.9545,11.1637,14.4518,15.2547,17.5092,45.2027,29.9962,Valid,0,0,0,0,0,3,17.5092,17.714915091603608,-0.2057150916036079,0.2057150916036079,-0.12320263569527962,0
TRN-0562,30.7015,55.1126,37.3272,53.9099,18.3063,16.9658,23.7367,31.425,23.8068,Valid,0,0,0,0,0,4,23.7367,23.549576658439925,0.18712334156007415,0.18712334156007415,0.11151996523969654,1
TRN-0126,27.1839,35.792,32.8674,28.726,15.6886,13.7668,20.7464,46.0688,20.623,Valid,0,0,0,0,0,1,20.7464,20.149292766180135,0.597107233819866,0.597107233819866,0.35648704943679355,2
TRN-0676,28.9435,99.9672,33.2564,54.1579,20.242,19.9359,25.0693,38.6309,45.2288,Valid,0,0,0,0,0,1,25.0693,24.87111920316329,0.1981807968367093,0.1981807968367093,0.11812684084845998,2
TRN-0360,31.1338,64.9587,39.5961,9.0647,18.6229,17.3282,24.1833,48.479,28.4009,Valid,0,0,0,0,0,0,24.1833,24.022246209306154,0.1610537906938454,0.1610537906938454,0.09594329995456072,0
TRN-0367,24.0314,97.8945,45.1767,31.2893,17.3437,18.1727,21.6014,52.8876,45.131,Valid,0,0,0,0,0,1,21.6014,21.297725596897386,0.3036744031026153,0.3036744031026153,0.18115971022767982,2
TRN-0405,24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,,20.1763,Valid,0,0,0,1,0,4,18.7117,18.246458825744376,0.46524117425562395,0.46524117425562395,0.2776965293069345,1
TRN-0868,28.3339,101.6303,50.6215,7.7931,19.0319,19.8449,23.5519,54.1915,55.1412,Valid,0,0,0,0,0,1,23.5519,23.946682995578893,-0.3947829955788933,0.3947829955788933,-0.23617149624440092,2
TRN-0020,9.4876,21.4776,37.3279,15.6388,6.1571,6.5039,8.2616,52.9346,13.5381,Valid,0,0,0,0,0,4,8.2616,7.772774278712757,0.48882572128724266,0.48882572128724266,0.29178839444485555,0
TRN-0316,22.2248,47.0868,39.5367,20.27,13.0209,12.675,16.6458,61.0745,19.7399,Valid,0,0,0,0,0,4,16.6458,17.319351821051498,-0.6735518210514968,0.6735518210514968,-0.40273703120888377,0
TRN-0067,30.9408,29.3598,18.0356,35.4607,16.7021,13.7519,21.9045,43.0005,19.7801,Valid,0,0,0,0,0,3,21.9045,22.110592048059665,-0.2060920480596664,0.2060920480596664,-0.12342786874870751,1
TRN-0317,25.933,70.3816,24.6378,10.6208,16.6609,15.9391,20.9687,48.0101,24.0015,Valid,0,0,0,0,0,3,20.9687,20.732824267781076,0.235875732218922,0.235875732218922,0.14064972182966537,1
TRN-0087,17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,20.3176,Invalid,0,0,0,0,0,2,3.2181,14.024710665215405,-10.806610665215405,10.806610665215405,-6.457281919229795,1
TRN-0801,11.2999,91.5588,48.8199,21.2042,10.7983,13.3691,12.9707,43.4485,39.321,Valid,0,0,0,0,0,0,12.9707,12.605826697610587,0.3648733023894142,0.3648733023894142,0.21772630759258121,2
TRN-0012,30.2939,43.3171,28.5824,30.3499,17.0338,15.1496,22.2573,38.2619,21.3846,Valid,0,0,0,0,0,4,22.2573,22.413719649452307,-0.15641964945230669,0.15641964945230669,-0.09374840357545047,1
TRN-0578,30.4866,60.5018,36.4074,15.0767,18.0583,16.8822,23.2278,38.5682,23.1545,Valid,0,0,0,0,0,1,23.2278,23.328793070266094,-0.10099307026609594,0.10099307026609594,-0.060630791526287656,2
TRN-0859,16.4487,20.9785,23.3935,58.5618,9.8089,8.7051,12.9031,61.0478,15.4105,Valid,0,0,0,0,0,2,12.9031,12.818884709254718,0.08421529074528245,0.08421529074528245,0.0500319760175928,1
TRN-0533,17.5311,72.927,28.746,36.0802,12.6016,13.0752,,56.541,23.5153,Invalid,0,0,1,0,1,2,16.7929,15.858168573656757,0.9347314263432427,0.9347314263432427,0.5582189114886876,2
TRN-0967,26.4104,30.8751,38.339,14.2777,14.5452,13.0594,19.2013,49.5647,19.7664,Valid,0,0,0,0,0,0,19.2013,19.29627797234232,-0.09497797234232053,0.09497797234232053,-0.05703674544943942,0
TRN-0788,20.1531,58.459,22.9316,43.5898,13.2875,12.8528,16.6355,61.1192,18.6948,Valid,0,0,0,0,0,3,16.6355,16.730788774479603,-0.09528877447960227,0.09528877447960227,-0.057222451021705874,2
TRN-0700,24.4753,49.2252,36.9219,22.1919,14.2996,13.6599,18.5642,60.5208,20.5104,Valid,0,0,0,0,0,2,18.5642,18.88897534416979,-0.32477534416979026,0.32477534416979026,-0.19434163277672178,0
TRN-0151,25.549,19.7697,34.1753,21.4309,13.6684,11.704,18.6616,46.3824,18.466,Valid,0,0,0,0,0,4,18.6616,18.0620068188744,0.5995931811255986,0.5995931811255986,0.3579724133119359,1
TRN-0236,22.9858,28.4295,35.2647,27.6778,12.9089,11.5537,17.0815,35.1347,18.4935,Valid,0,0,0,0,0,3,17.0815,16.93129467043363,0.15020532956636856,0.15020532956636856,0.08946129922088414,2
TRN-0130,27.9593,15.8726,33.4249,45.782,14.8659,12.4537,20.2947,51.5568,19.0968,Valid,0,0,0,0,0,1,20.2947,19.92126719138819,0.3734328086118097,0.3734328086118097,0.22284064823145314,2
TRN-0558,10.8607,21.0036,44.5708,31.3091,6.8793,7.0831,9.3319,47.3849,15.0884,Valid,0,0,0,0,0,2,9.3319,8.893621657356551,0.4382783426434482,0.4382783426434482,0.2615861250534263,1
TRN-0335,19.3366,109.2824,43.2863,42.829,15.6796,17.4192,19.0115,46.0047,53.154,Valid,0,0,0,0,0,2,19.0115,19.01214380420401,-0.0006438042040066705,0.0006438042040066705,-0.0006716868574344054,2
TRN-0747,8.1623,16.276,27.7498,24.8249,4.8959,4.9854,6.5243,58.8781,11.9183,Valid,0,0,0,0,0,4,6.5243,6.727969749187489,-0.2036697491874886,0.2036697491874886,-0.12198053507786341,2
TRN-0065,29.5509,88.0838,38.0994,34.3734,19.4764,19.0039,24.1937,67.1977,37.4703,Valid,0,0,0,0,0,3,24.1937,24.31864093307389,-0.12494093307389065,0.12494093307389065,-0.07493973935456046,1
TRN-0257,30.6035,29.4846,36.2652,41.0898,16.7405,14.3861,22.2693,,21.5145,Valid,0,0,0,1,0,0,22.2693,22.263062526105067,0.006237473894934453,0.006237473894934453,0.003439905483805167,0
TRN-0443,9.6318,92.6893,34.5091,30.5353,10.1782,12.5837,11.7777,64.1771,32.9683,Valid,0,0,0,0,0,0,11.7777,11.615060163250506,0.16263983674949323,0.16263983674949323,0.09689096908251797,2
TRN-0507,10.6681,75.8719,33.3623,5.2737,9.6188,11.4513,11.3341,67.399,23.1349,Valid,0,0,0,0,0,1,11.3341,11.060103917835757,0.273996082164242,0.273996082164242,0.16342678978520522,0
TRN-0943,24.4524,69.9741,29.5096,22.3974,15.7061,15.1518,19.6866,30.7207,25.1708,Valid,0,0,0,0,0,2,19.6866,19.934330912997044,-0.24773091299704575,0.24773091299704575,-0.1483072640751051,0
TRN-0438,9.2579,44.797,28.7596,5.9031,6.9661,7.9532,8.5018,71.9907,13.9035,Valid,0,0,0,0,0,4,8.5018,8.715671314467013,-0.21387131446701346,0.21387131446701346,-0.12807601284650705,0
TRN-0323,23.8319,94.5641,40.9548,12.1292,23.0025,17.4622,20.4693,53.8698,40.1544,Invalid,0,0,0,0,0,0,20.4693,20.86352641019727,-0.39422641019726967,0.39422641019726967,-0.2358389341593601,0
