Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,S3_consistency_residual,S3_abs_residual,S3_consistency_z,Sensor_S1_missing,Sensor_S2_missing,Sensor_S3_missing,Sensor_S4_missing,Sensor_S1_imputed,Sensor_S2_imputed,Sensor_S3_imputed,S1_clean,S2_clean,S3_clean,S4_clean,S3_minus_S1,S3_minus_S2,S2_minus_S1,S3_to_S1_ratio,power_proxy,missing_count,imputed_count,negative_sensor_count,zero_sensor_count,sentinel_count,flag_negative_sensor,flag_sentinel,flag_s3_s1_inconsistency,input_support_score,attention_score,predicted_validity,validity_probability
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,Valid,0.434047781457533,0.434047781457533,0.2590583471143497,0,0,0,0,0,0,0,13.6343,15.1361,16.5062,62.9115,2.8719,1.370099999999999,1.5018000000000011,1.2106369885971495,173043.41533985524,0,0,0,0,0,0,0,0,0.41601889129451275,1.4270205645253242,Valid,0.0
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,Valid,0.3744635191799013,0.3744635191799013,0.2234565020912836,0,0,0,0,0,0,0,15.6466,15.9849,19.3289,39.8667,3.6823000000000015,3.344000000000001,0.33830000000000027,1.2353410738811794,320448.7353807537,0,0,0,0,0,0,0,0,0.4560327822738751,1.3113909375435333,Valid,0.0
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,Valid,0.2191670751019963,0.2191670751019963,0.1306662295704408,0,0,0,0,0,0,0,15.108,16.6481,18.3834,44.539,3.275400000000001,1.7353000000000023,1.540099999999999,1.2167982414626415,60817.68124108585,0,0,0,0,0,0,0,0,0.2938742388170233,2.422917751936394,Valid,0.22
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,Valid,-0.1504113704175331,0.1504113704175331,-0.0901584318131979,0,0,0,0,0,0,0,14.9296,14.7026,18.6269,44.2673,3.6972999999999985,3.924299999999999,-0.2270000000000003,1.2476481301253013,99406.88537920109,0,0,0,0,0,0,0,0,0.4371334474729176,1.3758915368673625,Valid,0.04
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,Valid,-0.4016704073051294,0.4016704073051294,-0.2402867534535105,0,0,0,0,0,0,0,12.6845,15.2455,14.6132,44.072,1.928700000000001,-0.632299999999999,2.561,1.1520508084269714,346215.95497614995,0,0,0,0,0,0,0,0,0.3447704344570534,1.6707458845394036,Valid,0.03
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,22.9154,Valid,0.0920807191838992,0.0920807191838992,0.0547316022881487,0,0,0,1,0,0,0,11.3356,12.4198,13.764,49.4543,2.4284,1.344199999999999,1.084200000000001,1.2142266715245145,345151.1609775549,1,0,0,0,0,0,0,0,0.29731869582302756,2.6200942106420935,Valid,0.04
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,Valid,0.5408226741352031,0.5408226741352031,0.3228567904642472,0,0,0,0,0,0,0,14.6484,14.5557,18.4782,54.8324,3.8298000000000005,3.922500000000001,-0.09270000000000067,1.2614474881574178,82186.03443623181,0,0,0,0,0,0,0,0,0.482113358114008,1.3586300742362312,Valid,0.0
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,Valid,0.2482546862507924,0.2482546862507924,0.1480461984519119,0,0,0,0,0,0,0,15.6381,13.8904,20.6009,46.5897,4.9628,6.7105,-1.7477,1.3173522887356592,37547.47742949839,0,0,0,0,0,0,0,0,0.37538471616913627,1.3972767661136394,Valid,0.0
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,Valid,-0.4867705393642012,0.4867705393642012,-0.2911344370061339,0,0,0,0,0,0,0,18.5386,19.0188,22.7145,43.2755,4.175900000000002,3.695700000000002,0.48019999999999996,1.2252536732797121,281147.7943104131,0,0,0,0,0,0,0,0,0.2751016109702254,1.7409312150656833,Valid,0.0
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,Invalid,-0.162919259315398,0.162919259315398,-0.0976319475552009,0,0,0,0,0,0,0,4.7556,12.2665,17.5003,34.8471,12.744699999999998,5.233799999999999,7.5109,3.67992749615717,18999.71549568486,0,0,0,0,0,0,0,0,0.3582935728874636,1.4610448017802735,Invalid,0.98
