Test_ID,Perturbation,Delta_P_invalid,Delta_Reference_Parameter,Delta_Attention,Sensitivity
TST-0278,+1% Voltage,0.001,0.045,0.005,LOW
TST-0278,+1% Current,0.002,0.038,0.004,LOW
TST-0278,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0006,+1% Voltage,0.001,0.045,0.005,LOW
TST-0006,+1% Current,0.002,0.038,0.004,LOW
TST-0006,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0047,+1% Voltage,0.001,0.045,0.005,LOW
TST-0047,+1% Current,0.002,0.038,0.004,LOW
TST-0047,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0311,+1% Voltage,0.001,0.045,0.005,LOW
TST-0311,+1% Current,0.002,0.038,0.004,LOW
TST-0311,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0264,+1% Voltage,0.001,0.045,0.005,LOW
TST-0264,+1% Current,0.002,0.038,0.004,LOW
TST-0264,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0169,+1% Voltage,0.001,0.045,0.005,LOW
TST-0169,+1% Current,0.002,0.038,0.004,LOW
TST-0169,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0269,+1% Voltage,0.001,0.045,0.005,LOW
TST-0269,+1% Current,0.002,0.038,0.004,LOW
TST-0269,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0178,+1% Voltage,0.001,0.045,0.005,LOW
TST-0178,+1% Current,0.002,0.038,0.004,LOW
TST-0178,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0206,+1% Voltage,0.001,0.045,0.005,LOW
TST-0206,+1% Current,0.002,0.038,0.004,LOW
TST-0206,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
TST-0038,+1% Voltage,0.001,0.045,0.005,LOW
TST-0038,+1% Current,0.002,0.038,0.004,LOW
TST-0038,+1% S3 Sensor,0.008,0.11,0.015,MODERATE
