Test_ID,Validity_Label,Reference_Parameter
TST-0278,Invalid,33.408904221708305
TST-0006,Valid,18.834118496954968
TST-0047,Valid,59.376584547379245
TST-0311,Valid,26.19571126470932
TST-0264,Invalid,18.16606646667824
TST-0169,Valid,19.428683393184
TST-0269,Valid,18.813919557676726
TST-0178,Invalid,15.102410370805018
TST-0206,Invalid,42.81124155383272
TST-0038,Valid,18.153422602233512
TST-0213,Invalid,14.944263788905976
TST-0309,Valid,15.806346454439211
TST-0059,Valid,33.81095575334504
TST-0159,Valid,18.602027667775022
TST-0235,Valid,20.078330613849428
TST-0230,Valid,21.18630784666592
TST-0323,Valid,36.41291005922788
TST-0262,Valid,18.43938387320572
TST-0274,Valid,14.117469363719144
TST-0214,Valid,47.67703828010392
TST-0024,Valid,40.52874810584514
TST-0234,Valid,17.91662488294489
TST-0333,Valid,21.70846154307932
TST-0060,Valid,20.527722202063355
TST-0226,Valid,35.70802606753224
TST-0197,Valid,15.65675971099424
TST-0346,Invalid,41.51037895226555
TST-0192,Valid,26.40391691750689
TST-0141,Valid,30.304385272534955
TST-0222,Invalid,37.95675875306226
TST-0232,Valid,19.05948171953672
TST-0085,Valid,23.743512648847016
TST-0237,Valid,33.24336057506138
TST-0001,Valid,36.43740439798293
TST-0069,Valid,16.103918216298453
TST-0272,Valid,22.839384153300195
TST-0343,Valid,33.7630417403061
TST-0320,Valid,26.47464722236108
TST-0008,Invalid,29.766771762299097
TST-0144,Valid,23.55311352329763
TST-0184,Valid,22.480801838985908
TST-0107,Valid,56.93887588511396
TST-0026,Valid,42.076511608345925
TST-0164,Valid,40.81746390131951
TST-0217,Valid,32.85265398017093
TST-0332,Invalid,28.04140840773417
TST-0279,Valid,24.19990100556355
TST-0243,Valid,19.132896937644283
TST-0163,Valid,20.70443747078204
TST-0131,Valid,30.732703491898725
TST-0070,Valid,16.116284376095646
TST-0137,Valid,19.25390076673837
TST-0210,Valid,30.226673236547096
TST-0288,Valid,20.960093453295315
TST-0248,Valid,19.896190804746496
TST-0277,Valid,21.886837305513104
TST-0215,Valid,21.620621812099
TST-0138,Valid,15.979914345007536
TST-0228,Valid,18.03385378890344
TST-0252,Valid,48.88039552754728
TST-0205,Valid,29.100826657597626
TST-0348,Valid,22.015850186945183
TST-0177,Valid,22.76949055671081
TST-0267,Valid,38.55530142114113
TST-0308,Valid,23.40560441438361
TST-0087,Invalid,47.0585451381272
TST-0117,Valid,17.607895290053275
TST-0014,Valid,18.35566353871576
TST-0154,Valid,24.188474022464305
TST-0207,Valid,47.18384605982318
TST-0187,Valid,21.722917199547386
TST-0236,Valid,21.42349413677931
TST-0283,Invalid,39.50510301317562
TST-0089,Valid,18.71167245575404
TST-0202,Valid,23.69720222019249
TST-0160,Valid,18.142282105857163
TST-0036,Valid,24.94305412691006
TST-0275,Valid,46.57522506107749
TST-0023,Valid,34.62144978106004
TST-0091,Valid,42.69597987015446
TST-0151,Valid,43.3323459738911
TST-0310,Valid,22.90661675620151
TST-0239,Valid,15.122623091202067
TST-0331,Valid,32.067180145643505
TST-0316,Invalid,13.942824357264346
TST-0338,Valid,14.326731905212654
TST-0019,Valid,19.896980526769063
TST-0168,Invalid,13.69137590513846
TST-0007,Valid,18.845698072038864
TST-0211,Valid,32.66031258628059
TST-0016,Invalid,36.381544307392375
TST-0027,Invalid,19.113479597775743
TST-0031,Invalid,16.30665219355098
TST-0249,Valid,28.8231318362288
TST-0011,Valid,16.062111800662755
TST-0080,Valid,23.15939224819208
TST-0121,Valid,15.849642539652908
TST-0266,Valid,16.816303516691168
TST-0198,Valid,21.68286265957677
TST-0067,Valid,30.644363207935807
TST-0102,Valid,21.28454491783237
TST-0005,Valid,38.23221137949633
TST-0003,Valid,30.02893182925959
TST-0132,Valid,44.87219312423502
TST-0029,Valid,26.263114310058462
TST-0221,Valid,28.95364315013201
TST-0099,Valid,17.248158334622907
TST-0062,Valid,17.312605459978634
TST-0095,Valid,27.18294211655161
TST-0126,Valid,17.73785027428653
TST-0034,Valid,50.84633924172039
TST-0103,Valid,15.839459791298792
TST-0245,Valid,22.79701799920233
TST-0058,Valid,50.63401754630176
TST-0065,Valid,26.7729359430356
TST-0086,Valid,19.187731470409865
TST-0342,Valid,20.86359763615136
TST-0335,Valid,18.17132861541356
TST-0180,Invalid,18.34107561227227
TST-0294,Invalid,23.79768669515771
TST-0072,Valid,20.177828046360563
TST-0315,Valid,45.62624943662065
TST-0182,Valid,45.16249379075363
TST-0200,Valid,21.99236358888085
TST-0030,Valid,16.332091266170437
TST-0193,Valid,16.41565542059703
TST-0231,Valid,21.27482347688174
TST-0128,Valid,26.06887001190341
TST-0165,Valid,28.38369976128963
TST-0074,Valid,14.473057910182524
TST-0004,Valid,34.74562660688538
TST-0157,Valid,23.8187659558402
TST-0143,Valid,27.73288343768616
TST-0179,Valid,41.08341039960272
TST-0075,Valid,27.7374948300991
TST-0233,Valid,25.359167847374746
TST-0111,Valid,26.286970302343832
TST-0350,Valid,20.08627132638278
TST-0122,Valid,17.57653174287602
TST-0076,Valid,21.584768180485806
TST-0304,Valid,25.20843162868765
TST-0190,Valid,29.550396586621968
TST-0061,Valid,16.066256118808752
TST-0009,Valid,28.37229240299349
TST-0194,Valid,43.78000194802585
TST-0156,Invalid,16.827843508793165
TST-0088,Valid,32.23338307543811
TST-0256,Valid,46.85017450970046
TST-0329,Valid,17.205842740891768
TST-0219,Valid,41.12071044144122
TST-0306,Valid,14.01476213187869
TST-0324,Valid,22.0654655671662
TST-0113,Valid,21.128360023762063
TST-0135,Valid,15.620697213285318
TST-0339,Valid,17.129313493466725
TST-0260,Valid,22.345037002915227
TST-0195,Valid,25.69756935485149
TST-0286,Valid,28.052022031529287
TST-0015,Valid,24.27105828418473
TST-0263,Valid,19.265124540561672
TST-0147,Valid,24.40235235249117
TST-0002,Invalid,25.17482075935348
TST-0114,Valid,45.04189832462269
TST-0271,Invalid,27.932657477915395
TST-0223,Valid,22.25002171131418
TST-0344,Valid,15.56477729384508
TST-0183,Valid,31.65801150641255
TST-0327,Valid,34.35705101487855
TST-0250,Invalid,18.85129821609196
TST-0185,Valid,38.78891609493369
TST-0242,Valid,21.06132279910239
TST-0158,Valid,13.516266471480735
TST-0078,Valid,44.056571151772864
TST-0120,Invalid,23.052656403190404
TST-0093,Valid,31.23727104787288
TST-0051,Valid,15.312117573924777
TST-0010,Valid,15.320514863047086
TST-0013,Invalid,44.70728081614912
TST-0049,Valid,15.172712900649518
TST-0041,Valid,18.254030800584456
TST-0055,Valid,31.716678090925225
TST-0012,Valid,20.879947556319287
TST-0127,Valid,49.16194812244392
TST-0225,Valid,26.64924246231185
TST-0050,Valid,24.61538356757692
TST-0172,Invalid,35.726296398213506
TST-0079,Valid,33.00799145173524
TST-0046,Valid,22.23603636684004
TST-0325,Valid,18.589336201654287
TST-0280,Valid,21.200648017249144
TST-0140,Valid,15.106899664599569
TST-0244,Valid,45.62624943662065
TST-0203,Valid,20.942076483880804
TST-0238,Valid,18.67956403377296
TST-0092,Valid,30.323671483357124
TST-0307,Valid,13.965389235251662
TST-0176,Valid,29.03845347713554
TST-0115,Invalid,17.0792244736387
TST-0028,Invalid,18.697199154830493
TST-0317,Valid,19.93690564235198
TST-0251,Valid,37.49140284179483
TST-0301,Valid,15.03929491641178
TST-0116,Valid,35.70286788757385
TST-0056,Valid,24.04865591482297
TST-0166,Valid,27.59325883318264
TST-0247,Valid,33.77349012537027
TST-0291,Valid,28.03809897832228
TST-0167,Invalid,29.005997014557053
TST-0313,Valid,48.58796687984915
TST-0105,Valid,14.81997152211368
TST-0104,Valid,21.249064335281247
TST-0045,Valid,34.82130737426712
